futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
HK.00288,萬洲國際,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【十一市道】坪洲人流增一倍餐廳：疫情至今生意持續增加 ...,即時新聞 · 財經 · 理財 · 科技 · 中國 · 國際 · 商業 · 移民百科 · 博客 · TV ... 坪洲冰室負責人蘇小姐表示，坪洲昨日及今日的人流增逾一倍，冰室生意額亦增兩成。,https://inews.hket.com/article/2767844/%E3%80%90%E5%8D%81%E4%B8%80%E5%B8%82%E9%81%93%E3%80%91%E5%9D%AA%E6%B4%B2%E4%BA%BA%E6%B5%81%E5%A2%9E%E4%B8%80%E5%80%8D%E3%80%80%E9%A4%90%E5%BB%B3%EF%BC%9A%E7%96%AB%E6%83%85%E8%87%B3%E4%BB%8A%E7%94%9F%E6%84%8F%E6%8C%81%E7%BA%8C%E5%A2%9E%E5%8A%A0
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,全球航班大减·4600万人恐丢饭碗,这么做不仅让旅客能安心搭飞机，也能让政府松绑迫使上百万游客与商务人士延后或取消航班的管制措施。 文章来源： 星洲日报2020-10-02. 热门话题：. 1.,https://www.sinchew.com.my/pad/con/content_2352481.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352718.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352589.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352445.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,欠债逾千万‧澎恰恰绝望喊：快撑不住,星洲网促请读者、网民与观众，共同维护言论自由精神，营造理性交流环境；任何人身攻击、鼓吹种族与宗教仇恨、诽谤与造谣等留言，皆不代表本网站立场。本网站 ...,https://www.sinchew.com.my/pad/con/content_2352344.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,崇华独中下半年筹款逆流而上·筹得近90万令吉,崇华独中董事长拿督黄胜全对星洲日报《大霹雳》社区报说，冠病疫情导致学校无法像往年般举办宴会筹集经常营运费，校方只能通过线上办“冠病疫情见真情， ...,https://www.sinchew.com.my/pad/con/content_2352374.html
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
HK.00288,萬洲國際,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【十一市道】坪洲人流增一倍餐廳：疫情至今生意持續增加 ...,即時新聞 · 財經 · 理財 · 科技 · 中國 · 國際 · 商業 · 移民百科 · 博客 · TV ... 坪洲冰室負責人蘇小姐表示，坪洲昨日及今日的人流增逾一倍，冰室生意額亦增兩成。,https://inews.hket.com/article/2767844/%E3%80%90%E5%8D%81%E4%B8%80%E5%B8%82%E9%81%93%E3%80%91%E5%9D%AA%E6%B4%B2%E4%BA%BA%E6%B5%81%E5%A2%9E%E4%B8%80%E5%80%8D%E3%80%80%E9%A4%90%E5%BB%B3%EF%BC%9A%E7%96%AB%E6%83%85%E8%87%B3%E4%BB%8A%E7%94%9F%E6%84%8F%E6%8C%81%E7%BA%8C%E5%A2%9E%E5%8A%A0
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,全球航班大减·4600万人恐丢饭碗,这么做不仅让旅客能安心搭飞机，也能让政府松绑迫使上百万游客与商务人士延后或取消航班的管制措施。 文章来源： 星洲日报2020-10-02. 热门话题：. 1.,https://www.sinchew.com.my/pad/con/content_2352481.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352718.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352589.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352445.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,欠债逾千万‧澎恰恰绝望喊：快撑不住,星洲网促请读者、网民与观众，共同维护言论自由精神，营造理性交流环境；任何人身攻击、鼓吹种族与宗教仇恨、诽谤与造谣等留言，皆不代表本网站立场。本网站 ...,https://www.sinchew.com.my/pad/con/content_2352344.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,崇华独中下半年筹款逆流而上·筹得近90万令吉,崇华独中董事长拿督黄胜全对星洲日报《大霹雳》社区报说，冠病疫情导致学校无法像往年般举办宴会筹集经常营运费，校方只能通过线上办“冠病疫情见真情， ...,https://www.sinchew.com.my/pad/con/content_2352374.html
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
HK.00288,萬洲國際,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【十一市道】坪洲人流增一倍餐廳：疫情至今生意持續增加 ...,即時新聞 · 財經 · 理財 · 科技 · 中國 · 國際 · 商業 · 移民百科 · 博客 · TV ... 坪洲冰室負責人蘇小姐表示，坪洲昨日及今日的人流增逾一倍，冰室生意額亦增兩成。,https://inews.hket.com/article/2767844/%E3%80%90%E5%8D%81%E4%B8%80%E5%B8%82%E9%81%93%E3%80%91%E5%9D%AA%E6%B4%B2%E4%BA%BA%E6%B5%81%E5%A2%9E%E4%B8%80%E5%80%8D%E3%80%80%E9%A4%90%E5%BB%B3%EF%BC%9A%E7%96%AB%E6%83%85%E8%87%B3%E4%BB%8A%E7%94%9F%E6%84%8F%E6%8C%81%E7%BA%8C%E5%A2%9E%E5%8A%A0
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,全球航班大减·4600万人恐丢饭碗,这么做不仅让旅客能安心搭飞机，也能让政府松绑迫使上百万游客与商务人士延后或取消航班的管制措施。 文章来源： 星洲日报2020-10-02. 热门话题：. 1.,https://www.sinchew.com.my/pad/con/content_2352481.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352718.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352589.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352445.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,欠债逾千万‧澎恰恰绝望喊：快撑不住,星洲网促请读者、网民与观众，共同维护言论自由精神，营造理性交流环境；任何人身攻击、鼓吹种族与宗教仇恨、诽谤与造谣等留言，皆不代表本网站立场。本网站 ...,https://www.sinchew.com.my/pad/con/content_2352344.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,崇华独中下半年筹款逆流而上·筹得近90万令吉,崇华独中董事长拿督黄胜全对星洲日报《大霹雳》社区报说，冠病疫情导致学校无法像往年般举办宴会筹集经常营运费，校方只能通过线上办“冠病疫情见真情， ...,https://www.sinchew.com.my/pad/con/content_2352374.html
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
HK.00288,萬洲國際,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【十一市道】坪洲人流增一倍餐廳：疫情至今生意持續增加 ...,即時新聞 · 財經 · 理財 · 科技 · 中國 · 國際 · 商業 · 移民百科 · 博客 · TV ... 坪洲冰室負責人蘇小姐表示，坪洲昨日及今日的人流增逾一倍，冰室生意額亦增兩成。,https://inews.hket.com/article/2767844/%E3%80%90%E5%8D%81%E4%B8%80%E5%B8%82%E9%81%93%E3%80%91%E5%9D%AA%E6%B4%B2%E4%BA%BA%E6%B5%81%E5%A2%9E%E4%B8%80%E5%80%8D%E3%80%80%E9%A4%90%E5%BB%B3%EF%BC%9A%E7%96%AB%E6%83%85%E8%87%B3%E4%BB%8A%E7%94%9F%E6%84%8F%E6%8C%81%E7%BA%8C%E5%A2%9E%E5%8A%A0
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,全球航班大减·4600万人恐丢饭碗,这么做不仅让旅客能安心搭飞机，也能让政府松绑迫使上百万游客与商务人士延后或取消航班的管制措施。 文章来源： 星洲日报2020-10-02. 热门话题：. 1.,https://www.sinchew.com.my/pad/con/content_2352481.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352718.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352589.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352445.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,欠债逾千万‧澎恰恰绝望喊：快撑不住,星洲网促请读者、网民与观众，共同维护言论自由精神，营造理性交流环境；任何人身攻击、鼓吹种族与宗教仇恨、诽谤与造谣等留言，皆不代表本网站立场。本网站 ...,https://www.sinchew.com.my/pad/con/content_2352344.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,崇华独中下半年筹款逆流而上·筹得近90万令吉,崇华独中董事长拿督黄胜全对星洲日报《大霹雳》社区报说，冠病疫情导致学校无法像往年般举办宴会筹集经常营运费，校方只能通过线上办“冠病疫情见真情， ...,https://www.sinchew.com.my/pad/con/content_2352374.html
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
HK.00288,萬洲國際,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【十一市道】坪洲人流增一倍餐廳：疫情至今生意持續增加 ...,即時新聞 · 財經 · 理財 · 科技 · 中國 · 國際 · 商業 · 移民百科 · 博客 · TV ... 坪洲冰室負責人蘇小姐表示，坪洲昨日及今日的人流增逾一倍，冰室生意額亦增兩成。,https://inews.hket.com/article/2767844/%E3%80%90%E5%8D%81%E4%B8%80%E5%B8%82%E9%81%93%E3%80%91%E5%9D%AA%E6%B4%B2%E4%BA%BA%E6%B5%81%E5%A2%9E%E4%B8%80%E5%80%8D%E3%80%80%E9%A4%90%E5%BB%B3%EF%BC%9A%E7%96%AB%E6%83%85%E8%87%B3%E4%BB%8A%E7%94%9F%E6%84%8F%E6%8C%81%E7%BA%8C%E5%A2%9E%E5%8A%A0
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,全球航班大减·4600万人恐丢饭碗,这么做不仅让旅客能安心搭飞机，也能让政府松绑迫使上百万游客与商务人士延后或取消航班的管制措施。 文章来源： 星洲日报2020-10-02. 热门话题：. 1.,https://www.sinchew.com.my/pad/con/content_2352481.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352718.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352589.html
HK.00288,萬洲國際,10/03/2020,,,,,https://www.sinchew.com.my/pad/con/content_2352445.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,欠债逾千万‧澎恰恰绝望喊：快撑不住,星洲网促请读者、网民与观众，共同维护言论自由精神，营造理性交流环境；任何人身攻击、鼓吹种族与宗教仇恨、诽谤与造谣等留言，皆不代表本网站立场。本网站 ...,https://www.sinchew.com.my/pad/con/content_2352344.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,星洲网 Sin Chew Daily,崇华独中下半年筹款逆流而上·筹得近90万令吉,崇华独中董事长拿督黄胜全对星洲日报《大霹雳》社区报说，冠病疫情导致学校无法像往年般举办宴会筹集经常营运费，校方只能通过线上办“冠病疫情见真情， ...,https://www.sinchew.com.my/pad/con/content_2352374.html
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,
HK.00288,萬洲國際,10/03/2020,,,,,https://hk.news.yahoo.com/%E7%94%B7%E5%AD%90%E5%89%8D%E6%97%A5%E9%BB%91%E9%9B%A8%E4%B8%AB%E6%B4%B2%E6%BD%9B%E6%B0%B4%E5%A4%B1%E8%B9%A4-%E4%BB%8A%E6%97%A5%E5%B1%8D%E6%B5%AE%E6%B5%B7%E9%9D%A2-141730717.html
HK.00288,萬洲國際,10/03/2020,2020年10月2日,UDN 聯合新聞網,疑海況不佳 東石鄉外傘頂洲海域膠筏翻覆船長落水死亡,... 500輯 橘世代 轉角國際 NBA 時尚 汽車 棒球 遊戲 鳴人堂 專題 U值 網誌 購物 ... 嘉義縣東石鄉外傘頂洲海域今天凌晨5時許發生膠筏翻覆意外，一艘載著4名外傘頂 ...,https://udn.com/news/story/7320/4905474
HK.00288,萬洲國際,10/03/2020,2020年10月2日,頭條日報 Headline Daily,西貢海下灣對開浮潛男子疑遇溺失蹤 搜救未有發現 - 港聞 - 即時新聞 - 頭條日報 Headline Daily,港聞 · 娛樂 · 中國 · 國際 · 地產 · 財經 · 體育 ... 另外，前日黑色暴雨警告期間，一名37歲譚姓男子在丫洲以南對開海面潛水 ... 港聞; 娛樂; 中國; 國際; 地產; 財經; 體育 ...,https://hd.stheadline.com/news/realtime/hk/1888409/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E8%A5%BF%E8%B2%A2%E6%B5%B7%E4%B8%8B%E7%81%A3%E5%B0%8D%E9%96%8B%E6%B5%AE%E6%BD%9B%E7%94%B7%E5%AD%90%E7%96%91%E9%81%87%E6%BA%BA%E5%A4%B1%E8%B9%A4-%E6%90%9C%E6%95%91%E6%9C%AA%E6%9C%89%E7%99%BC%E7%8F%BE
