futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,2020年10月2日,新浪网,多重压力致业绩下滑，新世界发展强调“现金为王”,新世界发展在9月30日发布的2019/2020财年业绩显示，期内实现收入590.07亿港元，同比减少23.13%；期内毛利199.31亿港元，同比下降20%。期内利润32.66亿 ...,https://finance.sina.com.cn/tech/2020-10-02/doc-iivhuipp7661896.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,新华网,照亮前行方向的希望之光——记习近平主席出席联合国成立75周年系列高级别会议,新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题 ... 各国要树立创新、协调、绿色、开放、共享的新发展理念”，在第七十五届 ...,http://www.xinhuanet.com/2020-10/02/c_1126570277.htm
HK.00017,新世界發展,10/03/2020,,,,,http://theory.people.com.cn/n1/2020/1002/c40531-31882583.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00017,新世界發展,10/03/2020,,,,,https://www.chinanews.com/shipin/cns/2020/10-02/news869631.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,2020年10月2日,新浪网,多重压力致业绩下滑，新世界发展强调“现金为王”,新世界发展在9月30日发布的2019/2020财年业绩显示，期内实现收入590.07亿港元，同比减少23.13%；期内毛利199.31亿港元，同比下降20%。期内利润32.66亿 ...,https://finance.sina.com.cn/tech/2020-10-02/doc-iivhuipp7661896.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,新华网,照亮前行方向的希望之光——记习近平主席出席联合国成立75周年系列高级别会议,新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题 ... 各国要树立创新、协调、绿色、开放、共享的新发展理念”，在第七十五届 ...,http://www.xinhuanet.com/2020-10/02/c_1126570277.htm
HK.00017,新世界發展,10/03/2020,,,,,http://theory.people.com.cn/n1/2020/1002/c40531-31882583.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00017,新世界發展,10/03/2020,,,,,https://www.chinanews.com/shipin/cns/2020/10-02/news869631.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,2020年10月2日,新浪网,多重压力致业绩下滑，新世界发展强调“现金为王”,新世界发展在9月30日发布的2019/2020财年业绩显示，期内实现收入590.07亿港元，同比减少23.13%；期内毛利199.31亿港元，同比下降20%。期内利润32.66亿 ...,https://finance.sina.com.cn/tech/2020-10-02/doc-iivhuipp7661896.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,新华网,照亮前行方向的希望之光——记习近平主席出席联合国成立75周年系列高级别会议,新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题 ... 各国要树立创新、协调、绿色、开放、共享的新发展理念”，在第七十五届 ...,http://www.xinhuanet.com/2020-10/02/c_1126570277.htm
HK.00017,新世界發展,10/03/2020,,,,,http://theory.people.com.cn/n1/2020/1002/c40531-31882583.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00017,新世界發展,10/03/2020,,,,,https://www.chinanews.com/shipin/cns/2020/10-02/news869631.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,2020年10月2日,新浪网,多重压力致业绩下滑，新世界发展强调“现金为王”,新世界发展在9月30日发布的2019/2020财年业绩显示，期内实现收入590.07亿港元，同比减少23.13%；期内毛利199.31亿港元，同比下降20%。期内利润32.66亿 ...,https://finance.sina.com.cn/tech/2020-10-02/doc-iivhuipp7661896.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,新华网,照亮前行方向的希望之光——记习近平主席出席联合国成立75周年系列高级别会议,新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题 ... 各国要树立创新、协调、绿色、开放、共享的新发展理念”，在第七十五届 ...,http://www.xinhuanet.com/2020-10/02/c_1126570277.htm
HK.00017,新世界發展,10/03/2020,,,,,http://theory.people.com.cn/n1/2020/1002/c40531-31882583.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00017,新世界發展,10/03/2020,,,,,https://www.chinanews.com/shipin/cns/2020/10-02/news869631.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,2020年10月2日,新浪网,多重压力致业绩下滑，新世界发展强调“现金为王”,新世界发展在9月30日发布的2019/2020财年业绩显示，期内实现收入590.07亿港元，同比减少23.13%；期内毛利199.31亿港元，同比下降20%。期内利润32.66亿 ...,https://finance.sina.com.cn/tech/2020-10-02/doc-iivhuipp7661896.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,新华网,照亮前行方向的希望之光——记习近平主席出席联合国成立75周年系列高级别会议,新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题 ... 各国要树立创新、协调、绿色、开放、共享的新发展理念”，在第七十五届 ...,http://www.xinhuanet.com/2020-10/02/c_1126570277.htm
HK.00017,新世界發展,10/03/2020,,,,,http://theory.people.com.cn/n1/2020/1002/c40531-31882583.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00017,新世界發展,10/03/2020,,,,,https://www.chinanews.com/shipin/cns/2020/10-02/news869631.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,香港蘋果日報,崔天凱：反對新冷戰和脫鈎王毅讚習總指明世界經濟前行方向,王毅就國家主席習近平出席聯合國高級別會議受訪時指，習近平就全球復蘇與發展的難點，提出有效破解之策，首先是要堅持開放融通，強調人類走向開放、融合的 ...,https://hk.appledaily.com/china/20201002/ZZFYZZKVKZEVLGP3EQZ5XLVYQU/
HK.00017,新世界發展,10/03/2020,,,,,https://www.news.gov.hk/chi/2020/10/20201002/20201002_131043_082.html
HK.00017,新世界發展,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305430.shtml
HK.00017,新世界發展,10/03/2020,2020年10月2日,明報新聞網,特朗普確診新冠肺炎約翰遜蔡英文祝早日康復(16:30 ...,... 經濟發展貢獻良多. 0分鐘前. 7. 王弼：若拜登當選香港奇貨可居. 0分鐘前. 8. 鼎爺私房菜副線擬攻內地港業主免底租招攬CEO：審慎擴張. 0分鐘前. 9. 新世界「養老 ...,https://news.mingpao.com/ins/%E5%9C%8B%E9%9A%9B/article/20201002/s00005/1601625202572/%E7%89%B9%E6%9C%97%E6%99%AE%E7%A2%BA%E8%A8%BA%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E7%B4%84%E7%BF%B0%E9%81%9C%E8%94%A1%E8%8B%B1%E6%96%87%E7%A5%9D%E6%97%A9%E6%97%A5%E5%BA%B7%E5%BE%A9
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
HK.00017,新世界發展,10/03/2020,,,,,
